<<<<<<< Updated upstream
-56.088686225332296 -57.04436236400771 0
-480.9457884838522 -43.55100366648386 1
-329.1974279117468 369.13435697410426 2
101.17266038261839 354.4052113396292 3
87.59897458334615 63.08742021387769 4
-44.102121713295475 39.60388582745438 5
343.2906066926083 -154.46413513750937 6
18.500696255486616 241.77862397964134 7
-43.78510039393019 -395.6535765013332 8
270.5966694219522 136.69376369998213 9
-42.21666345928826 412.2653848392219 10
139.27317064127448 -9.903395356545559 11
57.03085952932795 -1.5738063481770779 12
-2.098522520260553 125.8878318383822 13
-180.22881361527237 -33.27182996468914 14
-142.32583974537758 -187.1430062228457 15
-315.1897040123952 341.44478759948254 16
63.480749524140464 -443.5598918853951 17
328.6802680518929 200.90263136858007 18
-233.7286864374779 -440.94769021909053 19
104.35230497462565 -237.75288734839094 20
-4.912338105563152 -296.2029343381451 21
-163.81893221900967 -98.76605946739149 22
-70.64211772727946 -264.42701295808575 23
3.3280471780667558 -225.74532970987008 24
-165.75541949797426 281.5776112887374 25
-295.0738883603998 2.1627099997200783 26
352.10925480150837 -62.27676078819803 27
1.6630080787333892 51.16612152722092 28
-90.28484707028012 -203.1815269444997 29
-283.47279824916683 -282.4254234833662 30
282.63294616162653 -233.4057243799316 31
-181.570889192916 -260.66323742230725 32
-485.6831615303406 115.18009344665386 33
-356.1155635125408 45.47560997549163 34
-94.8508434640471 -15.368222770799438 35
-139.43814024535982 223.737646824227 36
-192.90839165115776 219.51266038958724 37
-29.388198022717088 46.90432544444265 38
-90.30520663965433 161.59592922023225 39
383.74064889583985 -208.70039600837646 40
-2.3064229434999257 14.436212856672615 41
-118.62779575490829 -49.88711707757478 42
-209.8401580095507 -262.88180924958203 43
-0.9650372153054624 -0.5021735257116314 44
-159.36331490813936 -437.08852885910176 45
219.05708928950526 364.68066867464853 46
-19.32924875823464 39.17817626706156 47
276.24688848719757 -367.5648159010477 48
-209.00346594386426 146.96152883718585 49
-440.7158695520092 -21.450734234537045 50
56.66207650879557 212.11190492948842 51
-42.9459459629212 -180.40034815234898 52
-157.93730995607558 -376.5298345473033 53
-30.238130276348983 -345.0441570108598 54
-65.45300701184831 40.76243910867555 55
-89.06599633252623 -29.602332074478923 56
286.02883153846864 148.72190688413022 57
138.25749617709485 182.06325381593578 58
68.41170694351794 211.33658713113206 59
-21.35881838982378 22.556609848040683 60
-24.184246443831203 -148.52386258325825 61
136.94274937817175 7.133781408773196 62
138.8053075674751 90.0425813204397 63
241.6683663646934 412.42246928808646 64
6.177255139052626 65.87591248366816 65
-32.96455160926043 180.79302990267368 66
